UnixTime,p,v,h,filtered_v,filted_h
1065,94098.44,-9.950994,-0.49754968,-0.09950993,-0.004975497
1117,94098.38,9.869547,-0.004072301,-0.0008144649,-0.00501622
1168,94098.516,-24.014013,-1.204773,-0.2409546,-0.01706395
1220,94098.586,-12.717742,-1.84066,-0.36813203,-0.03547055
1272,94098.35,42.38925,0.27880257,0.055760473,-0.032682523
1323,94098.26,16.956408,1.126623,0.22532456,-0.021416297
1375,94098.08,32.49729,2.7514875,0.55029744,0.006098578
1426,94098.14,-11.302326,2.186371,0.43727422,0.027962288
1478,94098.2,-11.302987,1.6212218,0.32424432,0.044174504
1529,94098.234,-5.650732,1.3386852,0.267737,0.057561357
1581,94098.234,-0.0,1.3386852,0.267737,0.07094821
1633,94098.43,-35.3192,-0.42727476,-0.08545495,0.06667547
1684,94098.43,-0.0,-0.42727476,-0.08545495,0.06240272
1736,94098.43,-0.0,-0.42727476,-0.08545495,0.058129977
1787,94098.62,-33.91297,-2.1229234,-0.42458466,0.036900744
1839,94098.43,33.89986,-0.4279304,-0.08558608,0.03262144
1891,94098.26,31.076134,1.1258762,0.22517525,0.043880202
1942,94098.195,11.299532,1.6908529,0.33817056,0.06078873
1994,94098.02,31.073767,3.2445412,0.6489082,0.093234144
2045,94098.16,-24.009262,2.0440779,0.4088156,0.11367493
2097,94098.42,-48.021282,-0.3569862,-0.07139719,0.11010507
2148,94098.24,32.477493,1.2668885,0.2533777,0.12277395
2200,94098.05,35.30523,3.03215,0.60643,0.15309545
2252,94097.984,11.295918,3.5969458,0.7193892,0.1890649
2303,94097.81,31.066238,5.1502576,1.0300515,0.24056749
2355,94098.05,-42.36463,3.0320263,0.6064052,0.27088773
2407,94098.27,-40.950832,0.9844847,0.19689691,0.2807326
2458,94098.11,29.648388,2.466904,0.49338078,0.30540162
2510,94098.17,-11.294191,1.9021943,0.3804389,0.32442355
2561,94098.0,31.062695,3.455329,0.69106585,0.35897687
2613,94098.03,-5.6476574,3.172946,0.63458925,0.39070636
2665,94098.03,-0.0,3.172946,0.63458925,0.42243582
2716,94097.87,29.648531,4.655372,0.93107456,0.46898955
2768,94097.87,-0.0,4.655372,0.93107456,0.5155433
2819,94097.52,62.12818,7.7617817,1.5523564,0.5931611
2871,94097.41,21.176825,8.820623,1.7641246,0.68136734
2923,94097.0,73.40044,12.490645,2.498129,0.8062738
2974,94097.15,-26.820362,11.149627,2.2299254,0.9177701
3026,94097.15,-0.0,11.149627,2.2299254,1.0292664
3078,94097.41,-46.590824,8.820086,1.7640171,1.1174672
3129,94097.52,-21.170216,7.7615747,1.552315,1.1950829
3181,94097.69,-29.638826,6.279633,1.2559267,1.2578793
3232,94097.98,-52.214676,3.668899,0.73378,1.2945683
3284,94097.92,9.879976,4.162898,0.83257973,1.3361973
3336,94097.98,-9.878643,3.6689658,0.7337933,1.3728869
3387,94098.22,-43.746555,1.481638,0.2963278,1.3877033
3439,94098.305,-15.520584,0.70560867,0.14112195,1.3947594
3491,94098.13,31.041225,2.25767,0.45153424,1.4173361
3542,94098.516,-69.12391,-1.1985255,-0.23970479,1.4053509
3594,94098.52,-1.4110484,-1.269078,-0.25381526,1.3926601
3646,94098.664,-25.40088,-2.539122,-0.50782406,1.3672689
3697,94098.984,-57.84075,-5.4311595,-1.0862316,1.3129573
3749,94098.984,-0.0,-5.4311595,-1.0862316,1.2586458
3801,94099.07,-15.522172,-6.207268,-1.2414534,1.1965731
3852,94099.12,-8.46386,-6.6304607,-1.326092,1.1302686
3904,94099.12,-0.0,-6.6304607,-1.326092,1.063964
3956,94099.31,-35.27492,-8.394207,-1.6788412,0.9800219
4007,94099.375,-11.284484,-8.958431,-1.791686,0.8904376
4059,94099.555,-32.43906,-10.580385,-2.1160767,0.78463376
4111,94099.31,43.725662,-8.394101,-1.6788199,0.7006928
4162,94099.12,35.265396,-6.6308312,-1.326166,0.63438445
4214,94099.31,-35.263313,-8.393997,-1.6787992,0.55044454
4266,94099.31,-0.0,-8.393997,-1.6787992,0.46650454
4317,94099.555,-43.734913,-10.580742,-2.1161482,0.36069715
4369,94099.555,-0.0,-10.580742,-2.1161482,0.25488973
4421,94099.555,-0.0,-10.580742,-2.1161482,0.14908232
4472,94099.43,22.571161,-9.452185,-1.8904365,0.05456048
4524,94099.28,26.795542,-8.112408,-1.6224811,-0.026563577
4576,94099.46,-32.437904,-9.7343025,-1.9468602,-0.12390659
4627,94099.28,32.43106,-8.112749,-1.6225497,-0.20503406
4679,94099.21,12.694575,-7.478021,-1.4956038,-0.27981427
4731,94099.31,-18.33231,-8.394636,-1.6789268,-0.3637606
4782,94099.31,-0.0,-8.394636,-1.6789268,-0.44770697
4834,94099.49,-32.439045,-10.016589,-2.0033174,-0.54787284
4886,94099.375,21.153494,-8.958914,-1.7917823,-0.637462
4937,94099.26,21.147402,-7.901544,-1.5803084,-0.7164774
4989,94099.26,-0.0,-7.901544,-1.5803084,-0.7954928
5041,94099.086,31.02465,-6.3503118,-1.270062,-0.85899585
5092,94099.34,-46.521645,-8.676394,-1.7352782,-0.9457598
5144,94099.52,-32.42537,-10.297663,-2.059532,-1.0487363
5196,94099.43,16.918547,-9.4517355,-1.8903464,-1.1432537
5247,94099.46,-5.6387553,-9.733673,-1.946734,-1.2405905
5299,94099.46,-0.0,-9.733673,-1.946734,-1.3379271
5351,94099.55,-15.508996,-10.509123,-2.1018238,-1.4430183
5403,94099.28,47.925804,-8.112833,-1.6225659,-1.5241466
5454,94099.43,-26.78355,-9.452011,-1.8904014,-1.6186665
5506,94099.43,-0.0,-9.452011,-1.8904014,-1.7131867
5558,94099.555,-22.556263,-10.5798235,-2.115964,-1.818985
5609,94099.49,11.275072,-10.01607,-2.0032132,-1.9191455
5661,94099.555,-11.27595,-10.579867,-2.1159728,-2.024944
5713,94099.414,25.368877,-9.311423,-1.862284,-2.1180582
5764,94099.414,-0.0,-9.311423,-1.862284,-2.2111726
5816,94099.5,-15.50436,-10.086641,-2.0173275,-2.312039
5868,94099.33,31.000381,-8.536623,-1.7073238,-2.397405
5920,94099.46,-23.95766,-9.734506,-1.9469004,-2.49475
5971,94099.36,18.31948,-8.818531,-1.7637055,-2.5829353
6023,94099.16,36.64184,-6.986439,-1.3972871,-2.6527996
6075,94099.266,-19.72598,-7.9727383,-1.5945468,-2.7325268
6126,94099.234,5.6368628,-7.6908956,-1.5381781,-2.8094358
6178,94099.266,-5.6363215,-7.9727116,-1.5945414,-2.8891628
6230,94099.234,5.6425366,-7.6905847,-1.4386061,-2.9610932
6281,94099.19,8.462817,-7.2674437,-1.4526736,-3.033727
6333,94098.96,40.898914,-5.222498,-0.80354476,-3.073904
6385,94098.94,4.2313294,-5.0109315,-0.6340538,-3.1056068
6437,94099.05,-19.74119,-5.997991,-1.2553579,-3.1683748
6488,94099.04,1.4102473,-5.927479,-1.4108194,-3.2389157
6540,94099.11,-12.692245,-6.5620914,-1.8627146,-3.3320513
6592,94098.875,42.307537,-4.4467144,-1.3266162,-3.398382
6643,94098.8,14.101402,-3.7416444,-1.072572,-3.4520104
6695,94098.62,32.43517,-2.1198857,-0.6917132,-3.486596
6747,94098.75,-23.973766,-3.3185742,-0.9314509,-3.5331686
6798,94098.82,-12.690975,-3.953123,-0.7051688,-3.5684268
6850,94098.82,-0.0,-3.953123,-0.7051688,-3.6036854
6902,94098.914,-16.924849,-4.7993655,-0.8744173,-3.647406
6953,94099.12,-36.66621,-6.632676,-0.90194976,-3.6925037
7005,94099.12,-0.0,-6.632676,-1.2409482,-3.754551
7057,94099.37,-45.128296,-8.8890915,-2.0029924,-3.8547006
7108,94099.195,31.025166,-7.3378325,-1.805736,-3.9449875
7160,94099.26,-11.28188,-7.9019265,-2.2292922,-4.0564523
7212,94099.09,29.61098,-6.4213777,-1.6930902,-4.1411066
7263,94099.195,-18.331278,-7.337941,-1.3961902,-4.210916
7315,94099.195,-0.0,-7.337941,-1.7209647,-4.2969646
7367,94099.09,18.33238,-6.4213223,-1.8906934,-4.391499
7418,94099.195,-18.329859,-7.3378153,-2.1869512,-4.500847
7470,94099.17,4.2302914,-7.126301,-2.4553106,-4.6236124
7522,94099.03,25.37925,-5.8573384,-1.7778721,-4.712506
7573,94099.06,-5.6406016,-6.1393685,-1.4247696,-4.7837443
7625,94098.97,16.921768,-5.29328,-1.5520359,-4.8613462
7677,94099.15,-32.43085,-6.9148226,-1.7634027,-4.9495163
7728,94098.98,31.015469,-5.3640494,-1.763875,-5.03771
7780,94099.15,-31.022013,-6.9151497,-2.0176187,-5.138591
7832,94098.97,32.42711,-5.293794,-1.6933477,-5.223258
7884,94098.84,22.560595,-4.1657643,-1.7642267,-5.3114696
7935,94098.77,12.688353,-3.5313468,-1.6373432,-5.393337
7987,94098.67,18.330086,-2.6148427,-2.075323,-5.4971027
8039,94098.6,12.687586,-1.9804633,-2.1602154,-5.6051135
8090,94098.37,42.29283,0.13417843,-2.471292,-5.728678
8142,94098.13,42.30271,2.2493138,-1.7800615,-5.8176813
8194,94097.97,29.605072,3.7295678,-1.4840107,-5.891882
8245,94097.945,4.2292113,3.941028,-0.9758098,-5.9406724
8297,94097.77,31.006474,5.491352,-0.45404238,-5.9633746
8349,94097.516,46.515137,7.817109,0.30749595,-5.948
8400,94097.63,-21.14606,6.759806,0.61818165,-5.917091
8452,94097.56,12.686393,7.3941255,0.64624596,-5.8847785
8504,94097.49,12.688843,8.028567,0.8719206,-5.8411827
8556,94097.62,-22.554834,6.900826,1.0838379,-5.7869906
8607,94097.78,-29.600307,5.4208107,0.943041,-5.7398386
8659,94097.75,5.638258,5.7027235,0.68901104,-5.705388
8711,94098.22,-84.58154,1.4736463,0.5344346,-5.6786666
8762,94098.35,-23.965641,0.27536425,0.30888888,-5.6632223
8814,94098.3,9.865527,0.76864064,0.6615529,-5.6301446
8866,94098.586,-52.144127,-1.8385658,0.7185192,-5.5942187
8917,94098.57,2.8184903,-1.6976413,0.7467041,-5.5568833
8969,94098.69,-21.141077,-2.7546952,0.69051456,-5.5223575
9021,94098.65,7.04675,-2.4023576,0.8456207,-5.480077
9073,94098.6,8.455932,-1.979561,0.93018,-5.4335675
9124,94099.12,-93.02194,-6.630658,0.35270983,-5.415932
9176,94099.06,9.863096,-6.1375036,0.5641858,-5.3877225
9228,94099.06,-0.0,-6.1375036,0.8885759,-5.3432937
9279,94098.984,14.090119,-5.4329977,0.59222114,-5.3136826
9331,94098.92,11.2734,-4.8693275,0.35230088,-5.2960677
9383,94098.84,14.092549,-4.1647,0.84585977,-5.2537746
9435,94098.45,70.45994,-0.64170325,1.5504591,-5.176252
9486,94098.5,-8.455852,-1.0644958,1.9032497,-5.081089
9538,94098.45,8.455357,-0.641728,1.9878032,-4.981699
9590,94098.55,-16.908716,-1.4871638,1.8187159,-4.8907633
9641,94098.55,-0.0,-1.4871638,1.5930043,-4.8111134
9693,94098.625,-14.092175,-2.1917725,1.1841271,-4.751907
9745,94098.734,-19.727856,-3.1781652,1.3112273,-4.6863456
9797,94098.43,54.96149,-0.43009055,1.536532,-4.609519
9848,94098.484,-9.862409,-0.9232109,1.3109623,-4.543971
9900,94098.57,-15.500419,-1.6982319,1.3392817,-4.477007
9952,94098.75,-32.40991,-3.3187275,1.0151826,-4.4262476
10003,94098.516,42.269768,-1.2052389,1.76227,-4.3381343
10055,94098.6,-15.496837,-1.9800808,1.395767,-4.268346
10107,94098.6,-0.0,-1.9800808,1.1842929,-4.2091312
10159,94098.75,-26.77392,-3.3187768,0.9165537,-4.1633034
10210,94098.69,11.269957,-2.755279,0.7190066,-4.127353
10262,94098.64,8.453771,-2.3325906,1.2687606,-4.0639153
10314,94098.33,56.350853,0.48495215,2.1565228,-3.9560888
10365,94098.5,-30.994108,-1.0647533,1.6773962,-3.872219
10417,94098.47,5.6341996,-0.78304327,1.7901256,-3.7827127
10469,94098.5,-5.63453,-1.0647697,1.7337803,-3.6960237
10521,94098.78,-50.71269,-3.600404,1.3817432,-3.6269367
10572,94099.125,-61.997528,-6.70028,0.28251052,-3.612811
10624,94099.47,-61.98771,-9.799666,-0.06953124,-3.6162875
10676,94099.586,-21.130493,-10.856191,-0.28083616,-3.6303294
10728,94099.586,-0.0,-10.856191,-0.055273578,-3.633093
10779,94099.445,25.366358,-9.5878725,0.08563886,-3.6288114
10831,94099.414,5.634675,-9.306139,0.2547457,-3.616074
10883,94099.13,50.708206,-6.7707286,0.5081384,-3.5906672
10934,94099.13,-0.0,-6.7707286,0.5081384,-3.5652604
10986,94099.055,14.089407,-6.0662584,0.80407614,-3.5250566
11038,94098.93,22.53778,-4.939369,0.7194503,-3.4890842
11090,94098.9,5.633461,-4.6576962,1.0153611,-3.4383163
11141,94098.9,-0.0,-4.6576962,0.8321671,-3.3967078
11193,94099.06,-29.584766,-6.1369343,0.1699009,-3.3882127
11245,94099.17,-19.720848,-7.1229773,0.16995251,-3.379715
11297,94099.125,8.451133,-6.7004204,0.198095,-3.36981
11348,94098.95,30.989943,-5.1509233,0.564358,-3.341592
11400,94098.95,-0.0,-5.1509233,0.50793254,-3.3161952
11452,94098.78,31.026585,-3.5995939,0.7335698,-3.279517
11503,94099.06,-50.76189,-6.1376886,-0.18303783,-3.2886689
11555,94099.234,-31.017498,-7.6885633,-0.53552616,-3.315445
11607,94099.234,-0.0,-7.6885633,-0.3381145,-3.3323507
11658,94099.17,11.280396,-7.124543,-0.239413,-3.3443213
11710,94099.35,-32.433586,-8.7462225,-0.43682632,-3.3661625
11762,94099.35,-0.0,-8.7462225,-0.85990167,-3.4091578
11813,94099.41,-9.870714,-9.239758,-1.0996228,-3.464139
11865,94099.35,9.869183,-8.746299,-1.3252826,-3.530403
11917,94099.35,-0.0,-8.746299,-1.0855451,-3.58468
11968,94099.41,-9.871478,-9.239873,-1.05735,-3.6375475
12020,94099.41,-0.0,-9.239873,-1.05735,-3.690415
12072,94099.17,42.302303,-7.124758,-0.46507847,-3.7136688
12123,94098.95,39.47685,-5.150915,0.296352,-3.698851
12175,94098.92,5.6403103,-4.8689,0.35275513,-3.6812134
12227,94098.95,-5.6392226,-5.150861,0.74764526,-3.6438313
12279,94098.87,15.508442,-4.3754387,0.5924786,-3.6142073
12330,94099.05,-32.424797,-5.996679,0.3810499,-3.5951548
12382,94099.234,-33.835308,-7.688444,-0.25341338,-3.6078255
12434,94099.234,-0.0,-7.688444,-0.07010084,-3.6113307
12485,94099.41,-31.024647,-9.239676,-0.3803473,-3.630348
12537,94099.3,19.732624,-8.253045,-0.36634478,-3.6486652
12589,94099.3,-0.0,-8.253045,-0.18304603,-3.6578174
12640,94099.266,5.639199,-7.9710855,-0.16895695,-3.6662652
12692,94099.05,39.47061,-5.997555,-0.02804324,-3.6676674
12744,94098.96,15.505695,-5.2222705,0.18341982,-3.6584966
12795,94098.734,40.879498,-3.1782956,0.4229973,-3.6373467
12847,94098.875,-25.375381,-4.4470644,0.49355143,-3.6126692
